name;description;url
Boruto: Naruto Next Generations;Boruto, hijo del legendario Naruto, es un ninja con un espíritu rebelde. Ansioso por trazar su propio camino en un mundo shinobi moderno, enfrenta desafíos que van más allá de su linaje.;https://pluto.tv/latam/live-tv/656f37f257fe4a000884dfee/details
Pluto TV Series Retro;En Pluto TV Series Retro vas a poder divertirte y entretenerte con las mejores sitcoms de la historia de la televisión y éxitos clásicos como Who ìs the boss?, The Three Stooges, Popeye the Sailor and Romance of Betty Boop.;https://pluto.tv/latam/live-tv/5de802659167b10009e7deba/details
CBS News;CBS News, uno de los canales de noticias más prestigiosos llega a Pluto TV. Infórmate sobre todo lo que pasa en el mundo de la mano de los mejores periodistas. Y todo en idioma original. Si quieres estar informado las 24 horas éste es tu canal.;https://pluto.tv/latam/live-tv/62310d5a5dc9550007c6f580/details
Pluto TV  Nuestro Cine;Viajar por mundos remotos, a millones de años luz de nuestra galaxia. Enfrentarnos a una amenaza mundial. Volver a revivir la historia. Saltar de un camión en movimiento a otro. Ser un samurai. Un súper héroe. Todo lo que más te gusta del cine.;https://pluto.tv/latam/live-tv/5defde6d6c07b50009cf0757/details
Pluto TV Cocina;Te presentamos Pluto TV Cocina, un canal elaborado para los amantes del buen comer. Recetas creadas con amor, historias fascinantes, delicias exóticas, restaurantes de alta cocina y momentos únicos junto a los más exclusivos y premiados chefs.;https://pluto.tv/latam/live-tv/5dcde0657444a40009cd2422/details
PRIDEtv;PRIDEtv es el canal de televisión sobre estilo de vida para la comunidad LGBTQI+ con películas de autor galardonadas, documentales cautivadores, series queer, cortometrajes, reality shows y programas de televisión originales. ¡Tu orgullo comienza aquí!;https://pluto.tv/latam/live-tv/6643b8c42eafd40008daab8b/details
Dora, La Exploradora;¡Acompaña a Dora y su mono Botas en emocionantes aventuras! Explora un mundo lleno de diversión y aprendizaje mientras la ayudas a resolver misterios y rompecabezas. ¡Únete a la diversión con Dora la Exploradora!;https://pluto.tv/latam/live-tv/656e28a2954b020008ed133a/details
Pluto TV Cine Suspenso;Tómalo con calma y muévete sigilosamente, estás viendo Pluto TV Cine Suspenso donde cualquier movimiento en falso podría desatar una situación estremecedora. Asesinos acechando en plena noche y gangsters dispuestos a llevarte al límite de tu asiento.;https://pluto.tv/latam/live-tv/5ddc4e8bcbb9010009b4e84f/details
MTV Rocks;¿Eres fanático de las guitarras ruidosas y los riffs asesinos? MTV Rocks te ofrece la mejor mezcla de videos musicales de rock.;https://pluto.tv/latam/live-tv/66a01b52a4ee27000808ea36/details
DAZN Women's Football;DAZN Women’s Football ofrece a los fanáticos asientos de primera fila para disfrutar de la mejor acción del fútbol femenino, incluida la UEFA Women’s Champions League en vivo, la Liga F, documentales y mucho más acceso detrás de escena.;https://pluto.tv/latam/live-tv/64b02bbd7d93410008fdae60/details
Claro Sports;Disfruta de la mejor cobertura deportiva en Latinoamérica, producciones propias y eventos exclusivos, a través del canal Claro Sports en Pluto TV.;https://pluto.tv/latam/live-tv/6320d80a66666000086712d7/details
NCIS;NCIS es una serie que sigue a un equipo de agentes especiales del Servicio de Investigación Criminal Naval que investiga crímenes relacionados con la Marina de los Estados Unidos y el Cuerpo de Marines, mientras lidian con sus conflictos personales.;https://pluto.tv/latam/live-tv/63eb947c4e83e70008ab877b/details
Pluto TV Series de Acción;Pluto TV Series de Acción es el canal del maratón perfecto para los que no les gusta mover ni un solo dedo. No necesitas ni reflejos, ni entrenamiento. Muchas series de acción en cuanto te quedas en el sillón descansando. En Pluto TV.;https://pluto.tv/latam/live-tv/6479ff1c17f5e10008ad2797/details
Pluto TV Naturaleza;Explora los lugares más impactantes de nuestro planeta. Sumérgete en los más profundos océanos, escala las montañas más altas, recorre impenetrables selvas y vastos desiertos, emprende un viaje infinito con Pluto TV Naturaleza.;https://pluto.tv/latam/live-tv/5dd85eac039bba0009e86d1d/details
Azteca Deportes Network;Azteca Deportes te trae cobertura de eventos, emocionantes transmisiones en vivo y análisis detallado de todos los deportes. Brinda a los fanáticos información sobre todo lo que pasa en el mundo del deporte de la mano de expertos en cada disciplina.;https://pluto.tv/latam/live-tv/6582f002a620e3000813b329/details
Las Tortugas Ninja;Cuatro tortugas mutantes fanáticas de la pizza, entrenadas por su maestro ninja, surgirán de las alcantarillas para combatir el crimen y proteger a la ciudad de Manhattan de todo tipo de amenazas.;https://pluto.tv/latam/live-tv/63dd5d7a4e83e700088fbca8/details
Euronews Español;"""Euronews"" es el único canal de noticias internacional con una perspectiva europea. Su misión es permitir que cada uno se forme su propia opinión. Euronews se define por su imparcialidad e independencia. Euronews es “All Voices” (todas las voces).";https://pluto.tv/latam/live-tv/619d59b7cbef25000728221c/details
ADN40;En ADN40 podrás ver las últimas noticias EN VIVO tanto de México como del resto del mundo para estar informado las 24hs del dia los 365 días de año.;https://pluto.tv/latam/live-tv/646ccd3681844c000974d6f4/details
Bob Esponja Pantalones Cuadrados;Bob Esponja y todos sus amigos llegaron a Pluto TV. Para que te diviertas con todas sus aventuras. Un canal dedicado exclusivamente a la esponja más famosa de la televisión para que lo disfrutes las 24 horas del día.;https://pluto.tv/latam/live-tv/6254598f5083f800076d8563/details
TeleFórmula;TeleFórmula tiene una programación enfocada en noticias de actualidad, tanto de México como del mundo, finanzas, tecnología y farándula entre muchas cosas más. La mejor forma de estar informado todo el tiempo es mirando TeleFórmula.;https://pluto.tv/latam/live-tv/63d2c140c111bc0008cb890b/details
Azteca Deportes Premium;Azteca Deportes te trae cobertura de eventos, emocionantes transmisiones en vivo y análisis detallado de todos los deportes. Brinda a los fanáticos información sobre todo lo que pasa en el mundo del deporte de la mano de expertos en cada disciplina.;https://pluto.tv/latam/live-tv/65cf60d166eec80008724e6f/details
Pluto TV Historia;El pasado está lleno de acontecimientos que marcan nuestro presente, y para conocerlos a fondo está Pluto TV Historia, la mejor forma de recorrer esos grandes momentos de la humanidad a través de programas y documentales hechos para educar y entretener.;https://pluto.tv/latam/live-tv/5de5758e1a30dc00094fcd6c/details
Telefe Pluto TV;Telefe, el canal número 1 de Argentina llega a Pluto TV con lo mejor de su programación. Para que disfrutes de sus shows más exitosos. Novelas, series, viajes y 4 ediciones en vivo de noticias. Todo en un solo lugar.;https://pluto.tv/latam/live-tv/613237a1c9e0db0007a91350/details
Comedy Central Pluto TV;Comedy Central, la marca #1 de comedia en el mundo, también es parte de Pluto TV. Si tienes ganas de reír ya no te quedan excusas. Disfruta las 24 hs de los mejores shows: Backdoor, Comedy Central Stand Up, Duelo de comediantes y mucho más.;https://pluto.tv/latam/live-tv/5ffcc21a432945000762d06b/details
Rookie Blue: Policías Novatos;Rookie Blue: Policías Novatos es una emocionante serie policial que sigue a jóvenes reclutas en su primer trabajo en la fuerza, enfrentando desafíos tanto en el deber como en sus vidas mientras forjan relaciones y luchan contra crímenes en la ciudad.;https://pluto.tv/latam/live-tv/64ff270f30ab3300084e259c/details
Yu-Gi-Oh;Un misterioso rompecabezas va a cambiar para siempre la vida de Yugi y lo llevará a un mundo repleto de magia, secretos y enfrentamientos. YU-GI-OH llegó a PlutoTV. Para que lo disfrutes todo el día.;https://pluto.tv/latam/live-tv/5fceaab478f2af00080ff51f/details
Pluto TV Animé Acción;Es hora de que el público más grande tenga su recompensa: PLUTO TV ANIME ACCIÓN, el canal para los que quieren revivir los clásicos favoritos del Dark Animé como Death Note, Naruto y Bleach. A prepararse porque la acción de estas historias comienza aquí.;https://pluto.tv/latam/live-tv/5e6a4d875d7ccf0007cc2cf1/details
Lucha Libre AAA;¡Mira la lucha mexicana de alto octanaje 24/7 en Lucha Libre AAA! Máscaras de colores, movimientos de alto vuelo y emoción internacional te asaltan con fuerza y rapidez en este canal salvaje y emocionante.;https://pluto.tv/latam/live-tv/5f99a772c54853000797bf18/details
