serie;episode;episode_description;season
Los Productores;Episodio 1;Seung-chan causo una mal impresión por Ye-jin por error en el primer día de trabajo y Jun-mo recibe rumores de un reportero sobre la abolición del su programa. Mientras tanto, Ye-jin tiene un conflicto con Cindy por el problema de la guardarropía...;1
Los Productores;Episodio 2;Ye-jin, que necesita un lugar para quedarse por un tiempo debido al plan de mudanza, se queda en la casa de Jun-mo. Seung-chan, que fue asignado al programa <2 Días y 1 Noche>, asume la difícil tarea de entregar el aviso de salir del programa...;1
Los Productores;Episodio 3;Seung-chan se confunde cuando accidentalmente ve a Jun-mo y Ye-jin entrar en la misma casa. Mientras tanto, el equipo de producción está en crisis debido a un absurdo accidente de un miembro recién reclutado...;1
Los Productores;Episodio 4;Seung-chan se encontre con que Ye-jin y Jun-mo viven en misma casa, y Ye-jin observa a tal Seung-chan. Mientras tanto, Cindy le dice a la represente Byeon que aparecerá en <2 Días y 1 Noche>...;1
Los Productores;Episodio 5;Seung-chan y Cindy, que se quedaron atrás, ponen tiendas de campo y se acuestan afuera cuando llueve. Mientras tanto, después de la cena de la compañía, Ye-jin se emborracha y confieso sus sentimiento a Jun-mo...;1
Los Productores;Episodio 6;Seung-chan se confunde de saber los detalles del incidente. Ye-jin se siente decepcionado por la mentira de Jun-mo. Mientras tanto, Seung-chan, que fue llamado a un programa especial, está a cargo de la espera de Cindy.;1
Los Productores;Episodio 7;Ye-jin hizo un accidente más grande mientras trataba de ayudar a Cindy. Debido al malentendido de los fans de Cindy, Ye-jin está en una situación más difícil y Seung-chan está preocupado por ella.;1
Los Productores;Episodio 8;Cuando Cindy besa a Seung-chan, él se sorprende y está confundido. Mientras tanto, Ye-jin, que visitó el parque de diversiones, recibe una llamada de un hombre extraño y encuentra a una persona inesperada...;1
Los Productores;Episodio 9;Cindy vino a la casa de Seung-chan sin ningún plan, diciendo que tenía algo que decir. Seung-chan encuenta en un dilema entre Ye-jin, quien hizo una promesa de película, y Cindy, que está esperando frente a su casa.;1
Los Productores;Episodio 10;Seung-chan, que está teniendo problemas debido a Ye-jin, hará un trailer para <2 Días y 1 Noche> por primera vez. Mientras tanto, la represente Byeon intenta hecer de Gina otro Cindy...;1
Los Productores;Los Productores EP11;Ye-jin se mudó a una casa nueva mientras está confundida por la confesión de Seung-chan. Mientras tanto, debido al tráiler que epitado por Seung-chan, Cindy recibe una imagen íntima...;1
Los Productores;Los Productores EP12;Cindy, que está envuelta en rumores debido a la represente Byeon, pero Jun-mo procederá con la filmación debidamente. Mientras tanto, Ye-jin está confundida entre el sentimiento de Seung-chan y suyo...;1
El Hombre Inocente;Episodio 1;Maru y Jae-hee, que se dependen uno de otros a pesar de sus realidades miserables, se enderezan a sus sueños. Entonces, un día, Maru recibe una llamada de Jae-hee. Desde entonces, muchas cosas cambian y sus vidas también van en direcciónes inesperadas...;1
El Hombre Inocente;Episodio 2;Eun-gi, que escuchó sobre Maru y Jae-hee, duda sobre sus relación. Jae-hee descubre que la vida de Maru se caído al abismo al quitar por sí mismo, y trata de compensar con dinero. Pero Eun-gi, que enteró de esto, acosa a Jae-hee...;1
El Hombre Inocente;Episodio 3;Maru se siente herido en Jae-hee que ha cambiado mucha y decide vengar de ella. Maru intencionadamente se acercó a Eun-gi y salva a ella de el peligro. Mientras tanto, Jae-hee se esforza para ser reconocimiento por el presidente Seo.;1
El Hombre Inocente;Episodio 4;Jae-hee es confundida al ver a Maru y Eun-gi están juntos. Cuando visita a Eun-gi, Maru encuentra con el presidente Seo y Jae-hee, e incluso come. Eun-gi introduce Maru como su novio en ese lugar...;1
El Hombre Inocente;Episodio 5;Eun-gi va a Japón para detener la venta de villa de Amomori. Maru también llega a Japón para ayuda a Eun-gi a detener Jae-hee. Mientras tanto, Jae-hee sigue su curso de la firma del contrato de venta del villa favorablemente...;1
El Hombre Inocente;Episodio 6;El presidente Seo, está enojado con Eun-gi quien hizo que la venta del resort resultó en vano y causó muchos daños, y le dice a Eun-gi que saca todo y salga de su familia. Eun-gi viene a Maru, y en el momento, Jae-hee está con Maru también...;1
El Hombre Inocente;Episodio 7;Eun-gi se sorprende cuando enteró que Maru se había acerdado a sí mismo para vengarse de Jae-hee. Mientras tanto, Jae-hee está angustiada cuando su hermano Jae-sik llama a ella. Jae-sik dice a Maru que vengaría de Jae-hee por ración de Maru.;1
El Hombre Inocente;Episodio 8;Maru aceptó Eun-gi, quien corrió descalzo para encontrarlo. Maru y Eun-gi ahora se enfrentan con sus emociones propios. Mientras tanto, Jae-hee viene a Maru para disculparse por malinterpretar Maru, pero se desespera al ver Maru abrazando a Eun-gi.;1
El Hombre Inocente;Episodio 9;Eun-gi y Maru lo pasan bien en su primer destino de viaje. Eun-gi le dice a Maru que su relación con Jae-hee ya no es importante para ella, y será fiel a sus sentimientos, pero el corazón del Maru es difícil de saber...;1
El Hombre Inocente;Episodio 10;Maru sorprende al ver a Eun-gi, que es inocente como un niña en lugar de ser tan frío como antes, pero él rehusa a ella con frialdad. Mientras tanto, Jae-hee lucha solo contra la gente que todavía espera Eun-gi para eliminar la existencia de Eun-gi.;1
El Hombre Inocente;Episodio 11;Maru logra salvar a Eun-gi de Jae-sik. Jae-sik le dice a Maru que fue Jae-hee quien ordenó secuestrar a Eun-gi. Jun-ha le pide a Maru que le ayude, diciendo que si Jae-hee se entera dónde está Eun-gi, Eun-gi pondrá en peligro.;1
El Hombre Inocente;Episodio 12;Jae-hee se sorprende al ver que Eun-gi apareció con Maru. Maru ayuda a Eun-gi para recupe su lugar en Tae-san y presiona a Jae-hee. Min-young abriga dudas sobre el cambio de Eun-gi y observa a todo y cada movimiento de Eun-gi.;1
El Hombre Inocente;Episodio 13;Eun-gi y Maru tienen un momento feliz como los amantes que son nuevos para amar. Jae-hee y Min-young tratan calumniar Maru y afrentarlo, pero Maru también se prepara para enfrentarse con ellos...;1
El Hombre Inocente;Episodio 14;Eun-gi, que se despierta en el hospital, aún no puede salir de la conmoción, y Maru cuida a Eun-gi con pena. Mientras tanto, Jae-hee planea monstrar tal Eun-gi a la gente para apoderarse de los bienes de Tae-san.;1
El Hombre Inocente;Episodio 15;Para encontrar recuerdos de Eun-gi, Maru llega a ella a los lugares donde los dos fueron juntos, y Eun-gi se esfuerza por establecerse en Tae-san. Jae-hee planea abrrancar a Eun-gi, y Maru, que intenta salvar a Eun-gi, cae en la trampa de Min-young.;1
El Hombre Inocente;Episodio 16;Eun-gi recuerda los felices recuerdos con Maru y le pide a él que se casa. Jae-hee, que todavía no puede dajar Tae-san ni Maru, está sufriendo y Min-young no puede controlar los celos al ver eso...;1
El Hombre Inocente;Episodio 17;Eun-gi oculta el hecho de que su memoria ha vuelto y planea volver a Tae-san. Min-young se ofende con Jae-hee que aún se apega a Maru, por otra parte, duda de el anuncia de Eun-gi de su amnesia.;1
El Hombre Inocente;Episodio 18;Los recuerdos de Eun-gi regresan y decide vengarse de Maru y Jae-hee. Maru se anamoró de Eun-gi, pero ya no puede acercarse a ella. Jae-hee todavía se apega a Maru, y Min-young ya no puede comprende y revela su sentimiento a Jae-hee..;1
El Hombre Inocente;El Hombre Inocente EP19;Maru le dice a Jae-hee que todo es culpa suya que Jae-hee ha corrido por este camino de ruina, y sugiere a ella que detenga todo ahora y comience con él nuevamente con sí mismo. Eun-gi siente rabia y celos al ver los dos.;1
El Hombre Inocente;El Hombre Inocente EP20;Jae-hee se siente culpable por las palabras de Jae-sik y Maru, se decide entregarse, y le dice a Eun-gi sobre la enfermedad de Maru. Eun-gi recuerda todas las cosas que ha malentendido y maltratado a Maru todo este tiempo, y cae en una profunda tristeza.;1
W - Two Worlds Apart;The teacher has disappeared!;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;I found it properly, the key to my life.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;I might be that kind of person.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;What on earth is the world you live in?;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;This is why I came here. To Oh Yeon-joo's world.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;Save me, save me! Give me back my steel!;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;I was scared. That I might never see you again.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;Oh Yeon-joo, forget about me.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;The only accomplice Kang Cheol can accept is that person.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;Are you doubting me now?;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;Representative Kang has been looking for Oh Yeon-joo.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
W - Two Worlds Apart;From now on, I summon myself.;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";1
