title;description;rating;genre;duration;url
Devilman - The Demon Bird;Después de que Akira se transformara en Devilman, un demonio muy poderoso de nombre Sirene quiere tomar venganza por esto. ¿Akira tendrá lo necesario para enfrentarse a sus demonios internos y lograr sobrevivir a esta dura batalla por la humanidad?;NC-17;Anime;57 min;https://pluto.tv/latam/on-demand/movies/64d4f19c445a8a0013e8c60f/details
Inuyasha, Swords of an Honorble ruler;En el actual Tokio, la familia de Kagome envía una espada al almacén. Resulta ser So'unga, rompe el hechizo de setecientos años del espíritu de la vaina, Saya. Cuando Inuyasha toca la espada, la posee y la trae de vuelta al pasado.;TV-Y7;Anime;1hr 39 min;https://pluto.tv/latam/on-demand/movies/6099600941fc480013270ed4/details
Naruto Shippuden the Movie: The Lost Tower;El ninja perverso Mukade está a punto de ser atrapado por Naruto, cuando invoca el poder de un antiguo canal subterráneo de chakra. Naruto queda atrapado en el chakra y es enviado al pasado.;TV-14;Anime;1hr 25 min;https://pluto.tv/latam/on-demand/movies/6516db36727df0001a01a1d1/details
Road to Ninja - Naruto the Movie;Naruto y sus amigos logran ahuyentar a los malvados Akatsuki, que misteriosamente han regresado de entre los muertos, pero luego, ¡una extraña figura enmascarada aparece ante él!;TV-14;Anime;1hr 50 min;https://pluto.tv/latam/on-demand/movies/6516dc9ee2a2d8001a8cea9f/details
Inuyasha, Fire in the Mystic Island;En la Isla Horai, una mujer que se parece a Kikyō, deja caer una esfera verde al Caldero de Resonancia. Libera a los cuatro dioses de la guerra y las cicatrices aparecen en el resto de los niños medio demonio.;TV-Y7;Anime;1hr 28 min;https://pluto.tv/latam/on-demand/movies/6099600b41fc480013270f06/details
Santa Company - The secret of Xmas;"Como aprendiz de la Compañía Santa, Noel White se prepara para su prueba para convertirse en un Tonttu oficial, ""Encontrar lo más importante para un Santa Claus"". Noel y sus amigos se embarcan en una aventura, pero ¿encontrará la respuesta a su encargo?";G;Anime;1hr 6 min;https://pluto.tv/latam/on-demand/movies/64cd3ad3445a8a0013c95770/details
Ghost in the Shel: La Segunda Misión - Individuo 11;Es el año 2030. Un grupo de refugiados se ha convertido sin esfuerzo en una organización terrorista conocida como los Once Individuales. Al llevar a cabo un sádico intento de destrucción masiva, ¿saldrán victoriosos o probarán la amargura de la derrota?;PG;Anime;2hr 41 min;https://pluto.tv/latam/on-demand/movies/602d2896ffe774001ad3616e/details
Naruto Shippuden the Movie: Will of Fire;Cuatro shinobi con Kekkei Genkai que han estado protegiendo la Nube, la Roca, la Neblina y la Arena desaparecen sin dejar rastro. Al mismo tiempo, Naruto descubre que Kakashi se ha ido de la aldea.;TV-14;Anime;1hr 36 min;https://pluto.tv/latam/on-demand/movies/6515bdba91ee7c001a2084dc/details
Naruto Shippuden the Movie: Blood Prison;¡Comienza la batalla de Naruto para reclamar su honor! Naruto es condenado por un delito grave que no cometió y es enviado a una prisión ineludible, el Castillo Hozuki.;TV-14;Anime;1hr 42 min;https://pluto.tv/latam/on-demand/movies/6515c7953e6938001a3d951d/details
Naruto Shippuden: The Movie;Hace mucho tiempo, un espíritu poderoso llevó al mundo al borde de la destrucción. La última misión de Naruto es proteger a Shion, una sacerdotisa de la Tierra de los Ogros, a quien persigue un espíritu.;TV-14;Anime;1hr 35 min;https://pluto.tv/latam/on-demand/movies/6515d2d44827fc001aac7265/details
Inuyasha The Movie: Affections touching across time;El padre de Inuyasha derrotó a una poderosa polilla yōkai china llamada Hyōga, hace quinientos años. El fragmento de Joya Shikon revive a su hijo, Menōmaru, y a sus fieles sirvientes, Ruri y Hari (que planean vengar a su familia).;TV-Y7;Anime;1hr 40 min;https://pluto.tv/latam/on-demand/movies/6099600641fc480013270e6c/details
Naruto Shippuden the Movie: Bonds;Misteriosos ninja voladores han lanzado un ataque repentino contra la Hoja, dejando tras de sí una estela de destrucción. Para salvar su aldea, Naruto y sus amigos se propusieron detener esta nueva amenaza.;TV-14;Anime;1hr 33 min;https://pluto.tv/latam/on-demand/movies/6515cd3a619680001a502d19/details
