title;description;rating;genre;url
Los Productores;Una variedad de historias que ocurren en una emisora de televisión, donde los tontos de mucha carrera que están armados con horas extras del turno de la noche y las fuerzas físicas hercúleas están luchando para vivir día a día.;TV-14;Drama;https://pluto.tv/latam/on-demand/series/64d394f1b97a1e0013d2ea3c
El Hombre Inocente;Maru se dedicó toda su viad a Jae-hee, la mujer que amaba para su vida, pero es traicionado por ella. Maru encuenta a Eun-gi, la heredera del gran empresa y decide a vengarse de Jae-hee usando Eun-gi, que se enamora de Maru en un instante.;TV-14;Drama;https://pluto.tv/latam/on-demand/series/64d394e0b97a1e0013d2e68a
W - Two Worlds Apart;"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros.";PG-13;Romance;https://pluto.tv/latam/on-demand/series/65a6d7d008d0ab00136db883
Flames of Desire;Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.;PG;Drama;https://pluto.tv/latam/on-demand/series/6596c520478df60013c8fc87
Weightlifting Fairy, Kim Bok-joo;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;PG;Romance;https://pluto.tv/latam/on-demand/series/65a6d0c8478df600132322d5
Money Flower;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;PG-13;Thrillers;https://pluto.tv/latam/on-demand/series/65a6d7e608d0ab00136dbf93
My Secret, Terrius;Koh Ae-rin, ama de casa, se ve envuelta en el mundo de la inteligencia tras la muerte de su marido. Ae-rin se une a la investigación de Kim Bon sobre una gran conspiración, una unidad especial del Servicio Nacional de Inteligencia (NIS).;PG;Romance;https://pluto.tv/latam/on-demand/series/659ed148072664001361ac50
A Pledge to God;La historia explora el choque entre los instintos maternales y las normas morales.;PG;Drama;https://pluto.tv/latam/on-demand/series/65ae74e0debc810013c73e97
When a Man Falls in Loves;El amor es un viaje polifacético, que ofrece calidez y superación, pero también conlleva celos e inseguridades. Incontrolable e imprevisible, moldea nuestro crecimiento y madurez.;PG-13;Drama;https://pluto.tv/latam/on-demand/series/65a6d398478df60013232c01
Warm and Cozy;Esta miniserie de televisión trata de dos personas que se recuperan de sus problemas de la vida para volver a vivir con calidez. Gun-woo sigue los pasos del Gran Gatsby, que estaba perdidamente enamorado de Daisy y lo sacrificó todo.;PG;Romance;https://pluto.tv/latam/on-demand/series/659ed6ff954dcc0014ccfa0e
Kill Me, Heal Me;Aquí hay un hombre que vive en un mundo distópico. De pequeño sufrió traumas. Como le costaba superar esos traumas, creó otra personalidad para sobrellevar su dolor.;PG;Romance;https://pluto.tv/latam/on-demand/series/659454c5b2cbaf00135ad158
Pasta;Yoo-gyeong sueña con ser chef en Mamma Mia, pero es ayudante de cocina. Cuando los chefs Hyun-wook y Sae-young se unen, ella se convierte en la última mujer en pie. Yoo-gyeong, que al principio se siente inferior, empieza a sentir algo por Hyun-wook.;PG;Romance;https://pluto.tv/latam/on-demand/series/65a6d7d708d0ab00136dbaf9
